id,report_code,report_name,indicator_code,indicator_name,return_columns,function to call,product_table
144,US.CommodityPriceIndices_A,"UNCTAD Commodity Price Index, annual (2015=100)",M4024/Value,Growth rate (over previous period),"Commodity/Label,Year,M4024/Value",get_unctadstat,NA
145,US.CommodityPriceIndices_A,"UNCTAD Commodity Price Index, annual (2015=100)",M6475/Value,Index Base 2015,"Commodity/Label,Year,M6475/Value",get_unctadstat,NA
146,US.CommodityPriceIndices_M,"UNCTAD Commodity Price Index, annual (2015=100)",M4023/Value,"Growth rate, year-on-year","Commodity/Label,Period/Code,M4023/Value",get_unctadstat,NA
147,US.CommodityPriceIndices_M,"UNCTAD Commodity Price Index, annual (2015=100)",M6475/Value,Index Base 2015,"Commodity/Label,Period/Code,M6475/Value",get_unctadstat,NA
148,US.CommodityPriceIndices_M,"UNCTAD Commodity Price Index, annual (2015=100)",M4024/Value,Growth rate (over previous period),"Commodity/Label,Period/Code,M4024/Value",get_unctadstat,NA
149,US.CommodityPrice_A,"Commodity prices, annual",M7110/Value,Prices,"Commodity/Label,Year,M7110/Value",get_unctadstat,NA
150,US.CommodityPrice_M,"Commodity prices, monthly",M7110/Value,Prices,"Commodity/Label,Period/Code,M7110/Value",get_unctadstat,NA
151,US.GovExpenditures,Government expenditures,M5025/Value,Percentage of Gross Domestic Product,"Economy/Label,Year,GovernmentExpenditure/Label,M5025/Value",get_unctadstat,NA
152,US.GovExpenditures,Government expenditures,M0100/Value,US dollars at current prices,"Economy/Label,Year,GovernmentExpenditure/Label,M5025/Value",get_unctadstat,NA
153,US.CreativeGoodsIndex,"Market concentration index of creative goods exports and imports, annual (analytical)",M6036/Value,Concentration Index,"Product/Label,Flow/Label,Year,M6036/Value",get_unctadstat,NA
154,US.Tariff,"Import tariff rates on non-agricultural and non-fuel products, annual",M4000/Value,Rate,"Market/Label,Origin/Label,DutyType/Label,Indicator/Label,M4000/Value",get_unctadstat,NA
155,US.Tariff,"Import tariff rates on non-agricultural and non-fuel products, annual",M3700/Value,Absolute value,"Market/Label,Origin/Label,DutyType/Label,Indicator/Label,M3700/Value",get_unctadstat,NA
156,US.ConcentStructIndices,"Merchandise: Market concentration and structural change indices of exports and imports of products, annual (analytical)\",M6238/Value,Structural Change Index (1995=0),"Product/Label,Year,Flow/Label,M6238/Value",get_unctadstat_tradelike,NA
157,US.ConcentStructIndices,"Merchandise: Market concentration and structural change indices of exports and imports of products, annual (analytical)\",M6036/Value,Concentration Index,"Product/Label,Year,Flow/Label,M6036/Value",get_unctadstat_tradelike,NA
158,US.TradeMatrix,"Merchandise trade matrix, annual (analytical)",M0100/Value,US$ at current prices,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M0100/Value",get_unctadstat_tradelike,product_codes_merchandise_trade.csv
159,US.TradeMatrix,"Merchandise trade matrix, annual (analytical)",M5019/Value,Percentage by destination,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M5019/Value",get_unctadstat_tradelike,product_codes_merchandise_trade.csv
160,US.TradeMatrix,"Merchandise trade matrix, annual (analytical)",M5020/Value,Percentage by product or group of product,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M5020/Value",get_unctadstat_tradelike,product_codes_merchandise_trade.csv
161,US.IntraTrade,"Merchandise: Intra-trade and extra-trade of country groups by product, annual (analytical)",M0100/Value,US$ at current prices,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M0100/Value",get_unctadstat_tradelike,NA
162,US.IntraTrade,"Merchandise: Intra-trade and extra-trade of country groups by product, annual (analytical)",M5019/Value,Percentage by destination,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M5019/Value",get_unctadstat_tradelike,NA
163,US.RCA,"Revealed comparative advantage index, annual (analytical)",M6700/Value,RCA index,"Economy/Label,Year,Product/Label,M6700/Value",get_unctadstat_tradelike,NA
164,US.TradeServCatQuarterlyAnnualized,"Services (BPM6), Preliminary annual estimates based on quarterly data: Exports and imports by main service-category",M4023/Value,"Growth rate, year-on-year","Economy/Label,Year,Flow/Label,Category/Label,M4023/Value",get_unctadstat,NA
165,US.TradeServCatQuarterlyAnnualized,"Services (BPM6), Preliminary annual estimates based on quarterly data: Exports and imports by main service-category",M0100/Value,US$ at current prices,"Economy/Label,Year,Flow/Label,Category/Label,M0100/Value",get_unctadstat,NA
166,US.TradeServCatQuarterlyAnnualized,"Services (BPM6), Preliminary annual estimates based on quarterly data: Exports and imports by main service-category",M5011/Value,Percentage of total world,"Economy/Label,Year,Flow/Label,Category/Label,M5011/Value",get_unctadstat,NA
167,US.TradeServCatQuarterlyAnnualized,"Services (BPM6), Preliminary annual estimates based on quarterly data: Exports and imports by main service-category",M5022/Value,Percentage of total trade in services,"Economy/Label,Year,Flow/Label,Category/Label,M5022/Value",get_unctadstat,NA
168,US.TotAndComServicesQuarterly,"Services (BPM6): Trade and growth by main service-category, quarterly",M4023/Value,"Growth rate, year-on-year","Economy/Label,Period/Code,Flow/Label,Category/Label,M4023/Value",get_unctadstat,NA
169,US.TotAndComServicesQuarterly,"Services (BPM6): Trade and growth by main service-category, quarterly",M0100/Value,US$ at current prices,"Economy/Label,Period/Code,Flow/Label,Category/Label,M0100/Value",get_unctadstat,NA
170,US.TotAndComServicesQuarterly,"Services (BPM6): Trade and growth by main service-category, quarterly",M0150/Value,"US$ at current prices, seasonally adjusted","Economy/Label,Period/Code,Flow/Label,Category/Label,M0150/Value",get_unctadstat,NA
171,US.TotAndComServicesQuarterly,"Services (BPM6): Trade and growth by main service-category, quarterly",M4027/Value,"Growth rate (over previous period), seasonally adjusted","Economy/Label,Period/Code,Flow/Label,Category/Label,M4027/Value",get_unctadstat,NA
172,US.TradeServCatByPartner,"Services (BPM6): Exports and imports by service-category and by trade-partner, annual",M5011/Value,Percentage of total world,"Economy/Label,Year,Partner/Label,Flow/Label,Category/Label,M5011/Value",get_unctadstat_tradelike,NA
173,US.TradeServCatByPartner,"Services (BPM6): Exports and imports by service-category and by trade-partner, annual",M0100/Value,US$ at current prices,"Economy/Label,Year,Partner/Label,Flow/Label,Category/Label,M0100/Value",get_unctadstat_tradelike,NA
174,US.TradeServCatByPartner,"Services (BPM6): Exports and imports by service-category and by trade-partner, annual",M5022/Value,Percentage of total trade in services,"Economy/Label,Year,Partner/Label,Flow/Label,Category/Label,M5022/Value",get_unctadstat_tradelike,NA
175,US.TradeServCatByPartner,"Services (BPM6): Exports and imports by service-category and by trade-partner, annual",M4024/Value,Growth rate (over previous period),"Economy/Label,Year,Partner/Label,Flow/Label,Category/Label,M4024/Value",get_unctadstat_tradelike,NA
176,US.CreativeGoodsValue,"Creative goods matrix, annual (analytical)",M5011/Value,Percentage of total world,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M5011/Value",get_unctadstat_tradelike,NA
177,US.CreativeGoodsValue,"Creative goods matrix, annual (analytical)",M0100/Value,US$ at current prices,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M0100/Value",get_unctadstat_tradelike,NA
178,US.CreativeGoodsValue,"Creative goods matrix, annual (analytical)",M5019/Value,Percentage by destination,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M5019/Value",get_unctadstat_tradelike,NA
179,US.CreativeGoodsValue,"Creative goods matrix, annual (analytical)",M5058/Value,Percentage of total merchandise trade,"Economy/Label,Year,Partner/Label,Flow/Label,Product/Label,M5058/Value",get_unctadstat_tradelike,NA
180,US.CreativeGoodsGR,"Creative goods matrix, growth rates, annual (analytical)",M4017/Value,Annual average growth rate,"Economy/Label,Period/Label,Partner/Label,Flow/Label,Product/Label,M4017/Value",get_unctadstat_tradelike,NA
181,US.TradeFoodCatByProc,"Trade by food category, detailed by food processing (analytical)",M4023/Value,"Growth rate, year-on-year","Economy/Label,Period/Label,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M4023/Value",get_unctadstat_tradelike,NA
182,US.TradeFoodCatByProc,"Trade by food category, detailed by food processing (analytical)",M0100/Value,US$ at current prices,"Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M0100/Value",get_unctadstat_tradelike,NA
183,US.TradeFoodCatByProc,"Trade by food category, detailed by food processing (analytical)",M5066/Value,Percentage of total food,"Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M5066/Value",get_unctadstat_tradelike,NA
184,US.TradeFoodCatByProc,"Trade by food category, detailed by food processing (analytical)",M5058/Value,Percentage of total merchandise trade,"Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M5058/Value",get_unctadstat_tradelike,NA
185,US.TradeFoodProcCat_Cat_RCA,"Trade by food category, detailed by food processing, RCA (analytical)",M6046/Value,RCA Food process,"Economy/Label,Year,ProcessFoodCategory/Label,M6046/Value",get_unctadstat_tradelike,NA
186,US.TradeFoodProcByCat,"Trade by food processing, detailed by food category (analytical)",M4023/Value,"Growth rate, year-on-year","Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M4023/Value",get_unctadstat_tradelike,NA
187,US.TradeFoodProcByCat,"Trade by food processing, detailed by food category (analytical)",M0100/Value,US$ at current prices,"Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M0100/Value",get_unctadstat_tradelike,NA
188,US.TradeFoodProcByCat,"Trade by food processing, detailed by food category (analytical)",M5066/Value,Percentage of total food,"Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M5066/Value",get_unctadstat_tradelike,NA
189,US.TradeFoodProcByCat,"Trade by food processing, detailed by food category (analytical)",M5058/Value,Percentage of total merchandise trade,"Economy/Label,Year,Partner/Label,Flow/Label,ProcessFoodCategory/Label,M5058/Value",get_unctadstat_tradelike,NA
190,US.TradeFoodProcCat_Proc_RCA,"Trade by food processing, detailed by food category, RCA (analytical)",M6046/Value,RCA Food process,"Economy/Label,Year,ProcessFoodCategory/Label,M6046/Value",get_unctadstat_tradelike,NA
191,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1970/Value,Transport expenditure (US$),"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1970/Value",get_unctadstat_tradelike,NA
192,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1960/Value,FOB value (US$),"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1960/Value",get_unctadstat_tradelike,NA
193,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1980/Value,Per-unit freight rate (US$/kg),"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1980/Value",get_unctadstat_tradelike,NA
194,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1985/Value,Transport work in ton-km,"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1985/Value",get_unctadstat_tradelike,NA
195,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1986/Value,Transport work in 1000 $-km,"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1986/Value",get_unctadstat_tradelike,NA
196,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1991/Value,Transport cost intensity in US$ per ton-km,"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1991/Value",get_unctadstat_tradelike,NA
197,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M1992/Value,Transport cost intensity in US$ per 1000 $-km,"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M1992/Value",get_unctadstat_tradelike,NA
198,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M2100/Value,Kilograms,"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M2100/Value",get_unctadstat_tradelike,NA
199,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M5070/Value,Ad-valorem freight rate,"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M5070/Value",get_unctadstat_tradelike,NA
200,US.TransportCosts,"Trade-and-Transport Dataset, annual, 2016 onward (analytical)",M7120/Value,Unit value (US$/kg),"Origin/Label,Year,Destination/Label,TransportMode/Label,Product/Label,M7120/Value",get_unctadstat_tradelike,NA
